id_cliente,eta,segmento,anzianita_mesi,num_prodotti,stipendio_accreditato,ha_carta_credito,ha_mutuo,ha_investimenti,saldo_medio_eur,patrimonio_gestito_eur,canale_preferito,accessi_app_mese,transazioni_mese,giorni_ultima_operazione,variazione_saldo_3m_pct,reclami_12m,nps,note_gestore,abbandono
CL000001,25,affluent,163,2,1,0,0,1,5070.23,14613.32,app,13,10,12,-20.9,0,4.9,,0
CL000002,71,mass,113,4,1,0,0,0,11972.02,0.0,app,14,16,13,2.1,1,5.7,Ha accennato alla possibilita' di trasferire i dossier titoli a un altro istituto.,1
CL000003,63,affluent,84,2,1,0,0,1,5840.22,16303.85,app,10,9,9,-17.6,0,4.8,,0
CL000004,48,affluent,90,4,1,1,0,1,8371.53,20428.16,app,12,21,8,0.6,0,6.3,"Ha apprezzato il nuovo servizio dell'app, esperienza complessivamente buona.",0
CL000005,48,mass,277,3,1,0,1,0,5443.58,0.0,web,3,15,16,3.6,0,3.4,,0
CL000006,76,affluent,117,5,1,1,1,1,8048.9,17848.94,app,7,20,8,-4.1,0,6.2,,0
CL000007,25,affluent,137,6,1,1,0,1,6364.66,6139.74,app,19,24,7,-1.3,0,5.2,Ha ridotto l'operativita' e valuta di spostare la liquidita' altrove.,0
CL000008,66,private,94,2,1,1,0,1,15777.5,33881.97,filiale,2,10,15,12.8,0,7.3,,0
CL000009,33,mass,60,1,0,1,0,1,7290.51,5402.82,web,7,4,13,-8.9,0,7.1,Incontro positivo: valuta la sottoscrizione di un piano di accumulo.,0
CL000010,26,mass,106,2,0,1,0,1,10336.76,10211.43,app,22,7,14,2.5,0,7.9,,0
CL000011,54,mass,42,2,0,1,1,0,5466.17,0.0,app,14,6,10,-25.2,0,9.5,,0
CL000012,84,mass,319,4,1,1,0,0,16370.05,0.0,filiale,1,16,11,4.8,0,9.6,Interessato a una consulenza sulla previdenza integrativa.,0
CL000013,68,mass,67,2,0,0,0,1,3255.63,6154.71,app,7,9,6,17.4,0,6.7,,0
CL000014,70,mass,81,1,1,0,0,1,3699.47,6672.52,filiale,0,13,15,11.3,0,7.4,"Richiede un appuntamento per rivedere l'asset allocation, clima collaborativo.",0
CL000015,67,mass,136,2,1,0,0,1,14062.04,12446.34,web,1,14,19,-1.3,1,4.5,,0
